consumable_id,consumable_name,consumable_box_name,consumable_tier,consumable_type,consumable_category,consumable_ingredients,consumable_duration,consumable_effect,consumable_toxicity,consumable_price,consumable_weight,consumable_description,consumable_observation,consumable_method,consumable_effect_area
POTION-000,Purificador,Purificador | Comum,Comum,Poção,Utilidade,,Instantânea,Remove 1d6 de toxicidade.,0.0,15,0.5,"
- Um líquido de coloração branca leitosa, homogênea e suave, com brilho discreto que lembra porcelana polida sob a luz.
- Diferente de outras poções, não apresenta redemoinhos intensos; seu conteúdo permanece estável, formando ondulações lentas e perfeitamente uniformes quando o frasco é movimentado, como se impurezas simplesmente não pudessem existir em sua presença.
- Sua consistência é levemente sedosa, mais encorpada que água, mas sem viscosidade pesada.
- O aroma é limpo e sereno — notas minerais suaves, vapor quente e um traço quase imperceptível de ervas purificadoras.
- Ao ser ingerido, a sensação é imediata e silenciosa: um frescor que percorre o corpo seguido por uma neutralidade profunda, como se excessos, resíduos e influências estranhas fossem dissolvidos. Qualquer desconforto associado a toxinas parece recuar abruptamente, deixando apenas clareza física e estabilidade.","
- Qualquer efeito alquímico ativo será cessado.",,
POTION-001,Purificador,Purificador | Boa,Boa,Poção,Utilidade,,Instantânea,Remove 1d6 + 6 de toxicidade.,0.0,30,0.4,"
- Um líquido de coloração branca leitosa, homogênea e suave, com brilho discreto que lembra porcelana polida sob a luz.
- Diferente de outras poções, não apresenta redemoinhos intensos; seu conteúdo permanece estável, formando ondulações lentas e perfeitamente uniformes quando o frasco é movimentado, como se impurezas simplesmente não pudessem existir em sua presença.
- Sua consistência é levemente sedosa, mais encorpada que água, mas sem viscosidade pesada.
- O aroma é limpo e sereno — notas minerais suaves, vapor quente e um traço quase imperceptível de ervas purificadoras.
- Ao ser ingerido, a sensação é imediata e silenciosa: um frescor que percorre o corpo seguido por uma neutralidade profunda, como se excessos, resíduos e influências estranhas fossem dissolvidos. Qualquer desconforto associado a toxinas parece recuar abruptamente, deixando apenas clareza física e estabilidade.","
- Qualquer efeito alquímico ativo será cessado.",,
POTION-002,Purificador,Purificador | Superior,Superior,Poção,Utilidade,,Instantânea,Remove 1d6 + 12 de toxicidade.,0.0,60,0.3,"
- Um líquido de coloração branca leitosa, homogênea e suave, com brilho discreto que lembra porcelana polida sob a luz.
- Diferente de outras poções, não apresenta redemoinhos intensos; seu conteúdo permanece estável, formando ondulações lentas e perfeitamente uniformes quando o frasco é movimentado, como se impurezas simplesmente não pudessem existir em sua presença.
- Sua consistência é levemente sedosa, mais encorpada que água, mas sem viscosidade pesada.
- O aroma é limpo e sereno — notas minerais suaves, vapor quente e um traço quase imperceptível de ervas purificadoras.
- Ao ser ingerido, a sensação é imediata e silenciosa: um frescor que percorre o corpo seguido por uma neutralidade profunda, como se excessos, resíduos e influências estranhas fossem dissolvidos. Qualquer desconforto associado a toxinas parece recuar abruptamente, deixando apenas clareza física e estabilidade.","
- Qualquer efeito alquímico ativo será cessado.",,
POTION-003,Purificador,Purificador | Excelente,Excelente,Poção,Utilidade,,Instantânea,Remove 1d6 + 18 de toxicidade.,0.0,120,0.2,"
- Um líquido de coloração branca leitosa, homogênea e suave, com brilho discreto que lembra porcelana polida sob a luz.
- Diferente de outras poções, não apresenta redemoinhos intensos; seu conteúdo permanece estável, formando ondulações lentas e perfeitamente uniformes quando o frasco é movimentado, como se impurezas simplesmente não pudessem existir em sua presença.
- Sua consistência é levemente sedosa, mais encorpada que água, mas sem viscosidade pesada.
- O aroma é limpo e sereno — notas minerais suaves, vapor quente e um traço quase imperceptível de ervas purificadoras.
- Ao ser ingerido, a sensação é imediata e silenciosa: um frescor que percorre o corpo seguido por uma neutralidade profunda, como se excessos, resíduos e influências estranhas fossem dissolvidos. Qualquer desconforto associado a toxinas parece recuar abruptamente, deixando apenas clareza física e estabilidade.","
- Qualquer efeito alquímico ativo será cessado.",,
POTION-004,Purificador,Purificador | Obra-Prima,Obra-Prima,Poção,Utilidade,,Instantânea,Remove 1d6 + 24 de toxicidade.,0.0,240,0.1,"
- Um líquido de coloração branca leitosa, homogênea e suave, com brilho discreto que lembra porcelana polida sob a luz.
- Diferente de outras poções, não apresenta redemoinhos intensos; seu conteúdo permanece estável, formando ondulações lentas e perfeitamente uniformes quando o frasco é movimentado, como se impurezas simplesmente não pudessem existir em sua presença.
- Sua consistência é levemente sedosa, mais encorpada que água, mas sem viscosidade pesada.
- O aroma é limpo e sereno — notas minerais suaves, vapor quente e um traço quase imperceptível de ervas purificadoras.
- Ao ser ingerido, a sensação é imediata e silenciosa: um frescor que percorre o corpo seguido por uma neutralidade profunda, como se excessos, resíduos e influências estranhas fossem dissolvidos. Qualquer desconforto associado a toxinas parece recuar abruptamente, deixando apenas clareza física e estabilidade.","
- Qualquer efeito alquímico ativo será cessado.",,
POTION-005,Poção de Vida,Poção de Vida | Comum,Comum,Poção,Restauração,,Instantânea,Restaura 1d6 PV.,5.0,30,0.5,"
- Um líquido límpido de coloração rubi translúcida, cuja tonalidade varia suavemente conforme a luz, lembrando sangue visto através de cristal.
- Quando agitada, forma redemoinhos mais claros que desaparecem lentamente, como se a própria energia do conteúdo estivesse se reorganizando. A viscosidade é levemente superior à da água, permitindo que escorra pelo vidro com elegância sedosa.
- Seu aroma é suave e reconfortante — notas de ervas frescas, mel discreto e um fundo mineral limpo. Ao ser ingerida, espalha uma sensação imediata de calor controlado pelo corpo, não como fogo, mas como vitalidade retornando aos tecidos.
- Pequenas dores diminuem, a respiração se aprofunda e a pele parece recuperar cor e firmeza, como se o corpo fosse gentilmente lembrado de como se reconstruir.","
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes.
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-006,Poção de Vida,Poção de Vida | Boa,Boa,Poção,Restauração,,Instantânea,Restaura 1d6 + 6 PV.,4.0,60,0.4,"
- Um líquido límpido de coloração rubi translúcida, cuja tonalidade varia suavemente conforme a luz, lembrando sangue visto através de cristal.
- Quando agitada, forma redemoinhos mais claros que desaparecem lentamente, como se a própria energia do conteúdo estivesse se reorganizando. A viscosidade é levemente superior à da água, permitindo que escorra pelo vidro com elegância sedosa.
- Seu aroma é suave e reconfortante — notas de ervas frescas, mel discreto e um fundo mineral limpo. Ao ser ingerida, espalha uma sensação imediata de calor controlado pelo corpo, não como fogo, mas como vitalidade retornando aos tecidos.
- Pequenas dores diminuem, a respiração se aprofunda e a pele parece recuperar cor e firmeza, como se o corpo fosse gentilmente lembrado de como se reconstruir.","
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes.
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-007,Poção de Vida,Poção de Vida | Superior,Superior,Poção,Restauração,,Instantânea,Restaura 1d6 + 12 PV.,3.0,120,0.3,"
- Um líquido límpido de coloração rubi translúcida, cuja tonalidade varia suavemente conforme a luz, lembrando sangue visto através de cristal.
- Quando agitada, forma redemoinhos mais claros que desaparecem lentamente, como se a própria energia do conteúdo estivesse se reorganizando. A viscosidade é levemente superior à da água, permitindo que escorra pelo vidro com elegância sedosa.
- Seu aroma é suave e reconfortante — notas de ervas frescas, mel discreto e um fundo mineral limpo. Ao ser ingerida, espalha uma sensação imediata de calor controlado pelo corpo, não como fogo, mas como vitalidade retornando aos tecidos.
- Pequenas dores diminuem, a respiração se aprofunda e a pele parece recuperar cor e firmeza, como se o corpo fosse gentilmente lembrado de como se reconstruir.","
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes.
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-008,Poção de Vida,Poção de Vida | Excelente,Excelente,Poção,Restauração,,Instantânea,Restaura 1d6 + 18 PV.,2.0,240,0.2,"
- Um líquido límpido de coloração rubi translúcida, cuja tonalidade varia suavemente conforme a luz, lembrando sangue visto através de cristal.
- Quando agitada, forma redemoinhos mais claros que desaparecem lentamente, como se a própria energia do conteúdo estivesse se reorganizando. A viscosidade é levemente superior à da água, permitindo que escorra pelo vidro com elegância sedosa.
- Seu aroma é suave e reconfortante — notas de ervas frescas, mel discreto e um fundo mineral limpo. Ao ser ingerida, espalha uma sensação imediata de calor controlado pelo corpo, não como fogo, mas como vitalidade retornando aos tecidos.
- Pequenas dores diminuem, a respiração se aprofunda e a pele parece recuperar cor e firmeza, como se o corpo fosse gentilmente lembrado de como se reconstruir.","
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes.
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-009,Poção de Vida,Poção de Vida | Obra-Prima,Obra-Prima,Poção,Restauração,,Instantânea,Restaura 1d6 + 24 PV.,1.0,480,0.1,"
- Um líquido límpido de coloração rubi translúcida, cuja tonalidade varia suavemente conforme a luz, lembrando sangue visto através de cristal.
- Quando agitada, forma redemoinhos mais claros que desaparecem lentamente, como se a própria energia do conteúdo estivesse se reorganizando. A viscosidade é levemente superior à da água, permitindo que escorra pelo vidro com elegância sedosa.
- Seu aroma é suave e reconfortante — notas de ervas frescas, mel discreto e um fundo mineral limpo. Ao ser ingerida, espalha uma sensação imediata de calor controlado pelo corpo, não como fogo, mas como vitalidade retornando aos tecidos.
- Pequenas dores diminuem, a respiração se aprofunda e a pele parece recuperar cor e firmeza, como se o corpo fosse gentilmente lembrado de como se reconstruir.","
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes.
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
