enchantment_id,enchantment_name,enchantment_type,enchantment_effect_type,enchantment_is_parametric,enchantment_target,enenchantment_is_percentage,enchantment_base_value,enchantment_step,enchantment_allowed_itens,enchantment_base_price,enchantment_price_per_extra_value,enchantment_price_per_point,enchantment_price_per_difficulty,enchantment_description
ENCHANTMENT-000,Fortificar ST,Fortificar Atributo,fortify_attribute,FALSE,ST,FALSE,1,1,Acessórios,5000,5000,,,Aumenta a ST do usuário.
ENCHANTMENT-001,Enfraquecer ST,Enfraquecer Atributo,weaken_attribute,FALSE,ST,FALSE,1,1,Acessórios,5000,5000,,,Diminui a ST do usuário.
ENCHANTMENT-002,Fortificar DX,Fortificar Atributo,fortify_attribute,FALSE,DX,FALSE,1,1,Acessórios,10000,10000,,,Aumenta a DX do usuário.
ENCHANTMENT-003,Enfraquecer DX,Enfraquecer Atributo,weaken_attribute,FALSE,DX,FALSE,1,1,Acessórios,10000,10000,,,Diminui a DX do usuário.
ENCHANTMENT-004,Fortificar IQ,Fortificar Atributo,fortify_attribute,FALSE,IQ,FALSE,1,1,Acessórios,10000,10000,,,Aumenta a IQ do usuário.
ENCHANTMENT-005,Enfraquecer IQ,Enfraquecer Atributo,weaken_attribute,FALSE,IQ,FALSE,1,1,Acessórios,10000,10000,,,Diminui a IQ do usuário.
ENCHANTMENT-006,Fortificar HT,Fortificar Atributo,fortify_attribute,FALSE,HT,FALSE,1,1,Acessórios,5000,5000,,,Aumenta a HT do usuário.
ENCHANTMENT-007,Enfraquecer HT,Enfraquecer Atributo,weaken_attribute,FALSE,HT,FALSE,1,1,Acessórios,5000,5000,,,Diminui a HT do usuário.
ENCHANTMENT-008,Fortificar PV,Fortificar Atributo,fortify_attribute,FALSE,HP,FALSE,1,1,"Acessórios, Tronco",1000,1000,,,Aumenta os PV do usuário.
ENCHANTMENT-009,Enfraquecer PV,Enfraquecer Atributo,weaken_attribute,FALSE,HP,FALSE,1,1,"Acessórios, Tronco",1000,1000,,,Diminui os PV do usuário.
ENCHANTMENT-010,Fortificar Mana,Fortificar Atributo,fortify_attribute,FALSE,Mana,FALSE,1,1,"Acessórios,Instrumentos Mágicos, Tronco",1000,1000,,,Aumenta a Mana do usuário.
ENCHANTMENT-011,Enfraquecer Mana,Enfraquecer Atributo,weaken_attribute,FALSE,Mana,FALSE,1,1,"Acessórios,Instrumentos Mágicos, Tronco",1000,1000,,,Diminui a Mana do usuário.
ENCHANTMENT-012,Fortificar Toxicidade,Fortificar Atributo,fortify_attribute,FALSE,Toxicity,FALSE,1,1,"Acessórios, Tronco",1000,1000,,,Aumenta a Toxicidade do usuário.
ENCHANTMENT-013,Enfraquecer Toxicidade,Enfraquecer Atributo,weaken_attribute,FALSE,Toxicity,FALSE,1,1,"Acessórios, Tronco",1000,1000,,,Diminui a Toxicidade do usuário.
ENCHANTMENT-014,Fortificar Vontade,Fortificar Atributo,fortify_attribute,FALSE,Will,FALSE,1,1,"Acessórios, Cabeça",5000,5000,,,Aumenta a Vontade do usuário.
ENCHANTMENT-015,Enfraquecer Vontade,Enfraquecer Atributo,weaken_attribute,FALSE,Will,FALSE,1,1,"Acessórios, Cabeça",5000,5000,,,Diminui a Vontade do usuário.
ENCHANTMENT-016,Fortificar Visão,Fortificar Atributo,fortify_attribute,FALSE,Vision,FALSE,1,1,"Acessórios, Cabeça",1000,1000,,,Aumenta a Visão do usuário.
ENCHANTMENT-017,Enfraquecer Visão,Enfraquecer Atributo,weaken_attribute,FALSE,Vision,FALSE,1,1,"Acessórios, Cabeça",1000,1000,,,Diminui a Visão do usuário.
ENCHANTMENT-018,Fortificar Audição,Fortificar Atributo,fortify_attribute,FALSE,Hearing,FALSE,1,1,"Acessórios, Cabeça",1000,1000,,,Aumenta a Audição do usuário.
ENCHANTMENT-019,Enfraquecer Audição,Enfraquecer Atributo,weaken_attribute,FALSE,Hearing,FALSE,1,1,"Acessórios, Cabeça",1000,1000,,,Diminui a Audição do usuário.
ENCHANTMENT-020,Fortificar Olfato,Fortificar Atributo,fortify_attribute,FALSE,Smell,FALSE,1,1,"Acessórios, Cabeça",1000,1000,,,Aumenta o Olfato do usuário.
ENCHANTMENT-021,Enfraquecer Olfato,Enfraquecer Atributo,weaken_attribute,FALSE,Smell,FALSE,1,1,"Acessórios, Cabeça",1000,1000,,,Diminui o Olfato do usuário.
ENCHANTMENT-022,Fortificar Velocidade Básica,Fortificar Atributo,fortify_attribute,FALSE,Basic Speed,FALSE,0.5,0.5,"Acessórios, Pés",2000,2000,,,Aumenta a Velocidade Básica do usuário.
ENCHANTMENT-023,Enfraquecer Velocidade Básica,Enfraquecer Atributo,weaken_attribute,FALSE,Basic Speed,FALSE,0.5,0.5,"Acessórios, Pés",2000,2000,,,Diminui a Velocidade Básica do usuário.
ENCHANTMENT-024,Fortificar Deslocamento,Fortificar Atributo,fortify_attribute,FALSE,Movement,FALSE,1,1,"Acessórios, Pés",1000,1000,,,Aumenta o Deslocamento do usuário.
ENCHANTMENT-025,Enfraquecer Deslocamento,Enfraquecer Atributo,weaken_attribute,FALSE,Movement,FALSE,1,1,"Acessórios, Pés",1000,1000,,,Diminui o Deslocamento do usuário.
ENCHANTMENT-026,Fortificar Esquiva,Fortificar Atributo,fortify_attribute,FALSE,Dodge,FALSE,1,1,"Acessórios, Pés",1000,1000,,,Aumenta a Esquiva do usuário.
ENCHANTMENT-027,Enfraquecer Esquiva,Enfraquecer Atributo,weaken_attribute,FALSE,Dodge,FALSE,1,1,"Acessórios, Pés",1000,1000,,,Diminui a Esquiva do usuário.
ENCHANTMENT-028,Adicionar Vantagem,Peculiaridade,advantage,TRUE,,FALSE,,,Acessórios,,,2000,,Adiciona uma vantagem ao usuário.
ENCHANTMENT-029,Adicionar Desvantagem,Peculiaridade,disadvantage,TRUE,,FALSE,,,Acessórios,,,2000,,Adiciona uma desvantagem ao usuário.
ENCHANTMENT-030,Adicionar Perícia,Perícia,skill,TRUE,,FALSE,1,1,Acessórios,,2000,,1250,Adiciona uma perícia ao usuário.
ENCHANTMENT-031,Fortificar Perícia,Perícia,fortify_skill,TRUE,,FALSE,1,1,Acessórios,,2000,,1250,Fortifica uma perícia do usuário.
ENCHANTMENT-032,Enfraquecer Perícia,Perícia,weaken_skill,TRUE,,FALSE,1,1,Acessórios,,2000,,1250,Enfraquece uma perícia do usuário.
ENCHANTMENT-033,Adicionar Feitiço,Feitiço,spell,TRUE,,FALSE,1,1,"Acessórios,Instrumentos Mágicos",,2000,,1250,Adiciona um feitiço ao usuário.
ENCHANTMENT-034,Fortificar Feitiço,Feitiço,fortify_spell,TRUE,,FALSE,1,1,"Acessórios,Instrumentos Mágicos",,2000,,1250,Fortifica um feitiço do usuário.
ENCHANTMENT-035,Enfraquecer Feitiço,Feitiço,weaken_spell,TRUE,,FALSE,1,1,"Acessórios,Instrumentos Mágicos",,2000,,1250,Enfraquece um feitiço do usuário.
ENCHANTMENT-036,Aumentar Peso,Peso,add_weight,FALSE,,TRUE,0.1,0.1,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos, Armas Corpo a Corpo, Armas de Longo Alcance, Armas de Fogo",1000,1000,,,Aumenta o peso do item.
ENCHANTMENT-037,Reduzir Peso,Peso,remove_weight,FALSE,,TRUE,0.1,0.1,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos, Armas Corpo a Corpo, Armas de Longo Alcance, Armas de Fogo",1000,1000,,,Reduz o peso do item.
ENCHANTMENT-038,Aumentar Resistência à Dano,RD,fortify_damage_resistance,FALSE,,FALSE,1,1,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Aumenta a resistência à dano do item.
