magic_gear_id,magic_gear_type,magic_gear_name,magic_gear_price,magic_gear_weight
MAGIC_GEAR-001,Arcano,Varinha,150,0.3
MAGIC_GEAR-002,Arcano,Bastão,250,1.2
MAGIC_GEAR-003,Arcano,Cajado,300,1.8
MAGIC_GEAR-004,Arcano,Cetro,600,1
MAGIC_GEAR-005,Arcano,Orbe,800,0.5
MAGIC_GEAR-006,Arcano,Totem,200,0.4
MAGIC_GEAR-007,Arcano,Grimório,500,1
MAGIC_GEAR-008,Musical,Alaúde,300,1.5
MAGIC_GEAR-009,Musical,Tambor,200,2
MAGIC_GEAR-010,Musical,Flauta,100,0.2
MAGIC_GEAR-011,Musical,Lira,350,1
MAGIC_GEAR-012,Musical,Harpa,800,5
