spell_id,spell_box_name,spell_school,spell_name,spell_difficulty,spell_tier,spell_type,spell_requirements,spell_cost,spell_cast_time,spell_target_type,spell_range,spell_effect_area,spell_scaling,spell_duration,spell_description,spell_observation
MAN-0000,MOLDAR MANA | F,Arcanomancia,Moldar Mana,F,Aprendiz,Mental,,1,Instantâneo,Self,Self,Self,,Instantâneo,"
- O conjurador consegue manipular o fluxo de Mana ao seu redor.
- Esse feitiço é utilizado em qualquer disputa mágica.
- Esse feitiço é utilizado para teste de Cast Rápido em caso do feitiço ter um tempo de cast igual ou maior que 1 Turno.","
- Esse feitiço é a fundação para qualquer ser que queira manipular magia em Ytarria, sendo requisito para todo e qualquer feitiço.
- Esse feitiço limita o NH de todos os outros, ou seja, todos os feitiços no grimório de um conjurador tem seu NH limitado pelo NH deste."
MAN-0001,MOLDAR MANA | F,Arcanomancia,Moldar Mana,F,Experiente,Mental,,1,Instantâneo,Self,Self,Self,,Instantâneo,"
- O conjurador consegue manipular o fluxo de Mana ao seu redor.
- Esse feitiço é utilizado em qualquer disputa mágica.
- Esse feitiço é utilizado para teste de Cast Rápido em caso do feitiço ter um tempo de cast igual ou maior que 1 Turno.","
- Esse feitiço é a fundação para qualquer ser que queira manipular magia em Ytarria, sendo requisito para todo e qualquer feitiço.
- Esse feitiço limita o NH de todos os outros, ou seja, todos os feitiços no grimório de um conjurador tem seu NH limitado pelo NH deste."
MAN-0002,MOLDAR MANA | F,Arcanomancia,Moldar Mana,F,Veterano,Mental,,1,Instantâneo,Self,Self,Self,,Instantâneo,"
- O conjurador consegue manipular o fluxo de Mana ao seu redor.
- Esse feitiço é utilizado em qualquer disputa mágica.
- Esse feitiço é utilizado para teste de Cast Rápido em caso do feitiço ter um tempo de cast igual ou maior que 1 Turno.","
- Esse feitiço é a fundação para qualquer ser que queira manipular magia em Ytarria, sendo requisito para todo e qualquer feitiço.
- Esse feitiço limita o NH de todos os outros, ou seja, todos os feitiços no grimório de um conjurador tem seu NH limitado pelo NH deste."
MAN-0003,MOLDAR MANA | F,Arcanomancia,Moldar Mana,F,Especialista,Mental,,1,Instantâneo,Self,Self,Self,,Instantâneo,"
- O conjurador consegue manipular o fluxo de Mana ao seu redor.
- Esse feitiço é utilizado em qualquer disputa mágica.
- Esse feitiço é utilizado para teste de Cast Rápido em caso do feitiço ter um tempo de cast igual ou maior que 1 Turno.","
- Esse feitiço é a fundação para qualquer ser que queira manipular magia em Ytarria, sendo requisito para todo e qualquer feitiço.
- Esse feitiço limita o NH de todos os outros, ou seja, todos os feitiços no grimório de um conjurador tem seu NH limitado pelo NH deste."
MAN-0004,MOLDAR MANA | F,Arcanomancia,Moldar Mana,F,Mestre,Mental,,1,Instantâneo,Self,Self,Self,,Instantâneo,"
- O conjurador consegue manipular o fluxo de Mana ao seu redor.
- Esse feitiço é utilizado em qualquer disputa mágica.
- Esse feitiço é utilizado para teste de Cast Rápido em caso do feitiço ter um tempo de cast igual ou maior que 1 Turno.","
- Esse feitiço é a fundação para qualquer ser que queira manipular magia em Ytarria, sendo requisito para todo e qualquer feitiço.
- Esse feitiço limita o NH de todos os outros, ou seja, todos os feitiços no grimório de um conjurador tem seu NH limitado pelo NH deste."
MAN-0005,SENTIR MANA | F,Arcanomancia,Sentir Mana,F,Aprendiz,Detecção,"
- Moldar Mana",2,Instantâneo,Área,5 Hex,5 Hex,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador consegue sentir a presença de Mana em qualquer objeto ou ser ao seu redor.",
MAN-0006,SENTIR MANA | F,Arcanomancia,Sentir Mana,F,Experiente,Detecção,"
- Moldar Mana",2,Instantâneo,Área,10 Hex,10 Hex,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador consegue sentir a presença de Mana em qualquer objeto ou ser ao seu redor.",
MAN-0007,SENTIR MANA | F,Arcanomancia,Sentir Mana,F,Veterano,Detecção,"
- Moldar Mana",2,Instantâneo,Área,15 Hex,15 Hex,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue sentir a presença de Mana em qualquer objeto ou ser ao seu redor.",
MAN-0008,SENTIR MANA | F,Arcanomancia,Sentir Mana,F,Especialista,Detecção,"
- Moldar Mana",2,Instantâneo,Área,20 Hex,20 Hex,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue sentir a presença de Mana em qualquer objeto ou ser ao seu redor.",
MAN-0009,SENTIR MANA | F,Arcanomancia,Sentir Mana,F,Mestre,Detecção,"
- Moldar Mana",2,Instantâneo,Área,25 Hex,25 Hex,"
- +1 de Mana para cada 3 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue sentir a presença de Mana em qualquer objeto ou ser ao seu redor.",
