skill_id,skill_box_name,skill_name,skill_category,skill_type,skill_difficulty,skill_base_status,skill_pre_defined_level,skill_source_book,skill_source_page,skill_description,skill_prerequisite,skill_parry_modifier
SKILL-000,ADESTRAMENTO DE ANIMAIS - M|D,ADESTRAMENTO DE ANIMAIS,Animais,M,D,IQ,"
- IQ -6",Módulo Básico,46,"
Esta é a habilidade de treinar e trabalhar com todos os tipos de animais. Para treinar um animal, o adestrador deve ser bem sucedido em um teste de habilidade em cada dia de treinamento:
- Uma falha significa que o animal não aprendeu nada.
- Uma falha crítica significa que o animal atacou o adestrador.
- O tempo que se leva para adestrar um animal depende da sua inteligência e afabilidade. Veja o cap. Animais, na pág. 140.

Quando estiver trabalhando com um animal treinado, o adestrador deverá fazer um teste de habilidade para cada tarefa que ele determina para o animal.
- Modificadores: -5 se o animal não estiver familiarizado com o adestrador, -5 se as circunstâncias forem estressantes para o animal e -3 ou mais se a tarefa for complexa.

Esta perícia pode também (em alguns momentos) ser usada para acalmar um animal selvagem, perigoso ou não adestrado. -5 se a criatura for selvagem ou estiver muito assustada, -10 se ele for um animal que ataca seres humanos.
Por fim, esta perícia proporciona uma certa vantagem numa luta contra animais. Se seu nível nesta perícia for maior ou igual a 15, qualquer ataque feito contra você por um animal estará submetido a um redutor de -1, porque você é capaz de prever seu comportamento. Se você for um especialista (nível maior ou igual a 20), os ataques do animal estarão submetidos a um redutor de -2.",,
SKILL-001,FALCOARIA - M|M,FALCOARIA,Animais,M,M,IQ,"
- IQ -5",Módulo Básico,46,"
- Esta é a habilidade de caçar pequenos animais usando um falcão treinado.
- Um bom falcoeiro conhecerá técnicas de caça e treinamento, além de saber como cuidar de um falcão (veja a coluna lateral na pág. 142).
- Descobrir um ninho de falcão na primavera exige uma semana de busca e um sucesso em um teste de falcoaria. O ninho terá 1D-3 filhotes.",,
SKILL-002,CARREGAMENTO - M|D,CARREGAMENTO,Animais,M,D,IQ,"
- IQ -6
- ADESTRAMENTO DE ANIMAIS -6",Módulo Básico,46,"
- Esta é a habilidade de carregar e descarregar animais com rapidez e eficiência.
- Ela inclui a habilidade de avaliar corretamente os animais antes da compra, conseguir deles o melhor rendimento possível e selecionar as melhores rotas para as récuas.
- Sempre haverá demanda de peritos neste assunto em áreas comerciais com NT menor que 6.
- O ganho será sempre da ordem do salário de um comandante de mercenários.
- Se uma caravana não tiver no mínimo um mestre-carregador (NH 15+), sua velocidade diminuirá em 20%.
- O exército americano usou milhares de animais de carga na Segunda Guerra Mundial e teria usado muitos mais, mas não encontrou o número necessário de bons carregadores, e 4 anos de guerra não foram suficientes para treiná-los.
- Em cenários com NT mais elevado, esta perícia é substituída pela Fretagem, que é menos complexa (Mental/Média) por não exigir a familiaridade com animais.",ADESTRAMENTO DE ANIMAIS,
SKILL-003,MONTARIA | CAVALOS - F|M,MONTARIA | CAVALOS,Animais,F,M,DX,"
- ADESTRAMENTO DE ANIMAIS -3
- DX -5",Módulo Básico,46,"
- Esta perícia é diferente para cada tipo de animal (em outras palavras, você precisa escolher um animal no qual deseja se especializar).
- Se você encontrar um tipo de montaria com o qual não está familiarizado, deverá usar seu nível de habilidade com o tipo de animal mais próximo.
- Você deve fazer um teste de habilidade ao tentar montar um animal pela primeira vez e repeti-lo toda vez que alguma coisa assustá-lo ou provocá-lo (por ex., um salto).
- Modificadores: +5 se o animal o conhece e gosta de você; -10 se o animal não for uma criatura “comum” de montaria ou não tiver sido treinado como tal.",,
SKILL-004,MONTARIA | CAMELOS - F|M,MONTARIA | CAMELOS,Animais,F,M,DX,"
- ADESTRAMENTO DE ANIMAIS -3
- DX -5",Módulo Básico,46,"
- Esta perícia é diferente para cada tipo de animal (em outras palavras, você precisa escolher um animal no qual deseja se especializar).
- Se você encontrar um tipo de montaria com o qual não está familiarizado, deverá usar seu nível de habilidade com o tipo de animal mais próximo.
- Você deve fazer um teste de habilidade ao tentar montar um animal pela primeira vez e repeti-lo toda vez que alguma coisa assustá-lo ou provocá-lo (por ex., um salto).
- Modificadores: +5 se o animal o conhece e gosta de você; -10 se o animal não for uma criatura “comum” de montaria ou não tiver sido treinado como tal.",,
SKILL-005,MONTARIA | BOIS - F|M,MONTARIA | BOIS,Animais,F,M,DX,"
- ADESTRAMENTO DE ANIMAIS -3
- DX -5",Módulo Básico,46,"
- Esta perícia é diferente para cada tipo de animal (em outras palavras, você precisa escolher um animal no qual deseja se especializar).
- Se você encontrar um tipo de montaria com o qual não está familiarizado, deverá usar seu nível de habilidade com o tipo de animal mais próximo.
- Você deve fazer um teste de habilidade ao tentar montar um animal pela primeira vez e repeti-lo toda vez que alguma coisa assustá-lo ou provocá-lo (por ex., um salto).
- Modificadores: +5 se o animal o conhece e gosta de você; -10 se o animal não for uma criatura “comum” de montaria ou não tiver sido treinado como tal.",,
SKILL-006,MONTARIA | HIPOGRIFOS - F|M,MONTARIA | HIPOGRIFOS,Animais,F,M,DX,"
- ADESTRAMENTO DE ANIMAIS -3
- DX -5",Módulo Básico,46,"
- Esta perícia é diferente para cada tipo de animal (em outras palavras, você precisa escolher um animal no qual deseja se especializar).
- Se você encontrar um tipo de montaria com o qual não está familiarizado, deverá usar seu nível de habilidade com o tipo de animal mais próximo.
- Você deve fazer um teste de habilidade ao tentar montar um animal pela primeira vez e repeti-lo toda vez que alguma coisa assustá-lo ou provocá-lo (por ex., um salto).
- Modificadores: +5 se o animal o conhece e gosta de você; -10 se o animal não for uma criatura “comum” de montaria ou não tiver sido treinado como tal.",,
SKILL-007,MONTARIA | DRAGÕES - F|M,MONTARIA | DRAGÕES,Animais,F,M,DX,"
- ADESTRAMENTO DE ANIMAIS -3
- DX -5",Módulo Básico,46,"
- Esta perícia é diferente para cada tipo de animal (em outras palavras, você precisa escolher um animal no qual deseja se especializar).
- Se você encontrar um tipo de montaria com o qual não está familiarizado, deverá usar seu nível de habilidade com o tipo de animal mais próximo.
- Você deve fazer um teste de habilidade ao tentar montar um animal pela primeira vez e repeti-lo toda vez que alguma coisa assustá-lo ou provocá-lo (por ex., um salto).
- Modificadores: +5 se o animal o conhece e gosta de você; -10 se o animal não for uma criatura “comum” de montaria ou não tiver sido treinado como tal.",,
SKILL-008,MONTARIA | WARGS - F|M,MONTARIA | WARGS,Animais,F,M,DX,"
- ADESTRAMENTO DE ANIMAIS -3
- DX -5",Módulo Básico,46,"
- Esta perícia é diferente para cada tipo de animal (em outras palavras, você precisa escolher um animal no qual deseja se especializar).
- Se você encontrar um tipo de montaria com o qual não está familiarizado, deverá usar seu nível de habilidade com o tipo de animal mais próximo.
- Você deve fazer um teste de habilidade ao tentar montar um animal pela primeira vez e repeti-lo toda vez que alguma coisa assustá-lo ou provocá-lo (por ex., um salto).
- Modificadores: +5 se o animal o conhece e gosta de você; -10 se o animal não for uma criatura “comum” de montaria ou não tiver sido treinado como tal.",,
SKILL-009,CARREIRO | CAVALOS - M|M,CARREIRO | CAVALOS,Animais,M,M,IQ,- ADESTRAMENTO DE ANIMAIS -4,Módulo Básico,47,"
- Esta é a perícia na condução de juntas de animais, como um carroção.
- Ela inclui a habilidade de atrelar e cuidar dos animais, e de avaliá-los antes de uma compra.
- Conduzir um grupo com mais de 4 animais, ou um grupo com animais desconhecidos, submete o NH do personagem a um redutor de -2. Cada espécie de animal exige uma perícia diferente.
- O nível pré-definido em cada uma delas é igual ao nível em qualquer uma das outras -3.

Quando um carroção ou uma carga (um canhão, p.ex.) for movimentado a galope (mais de 30 km/h ou 10 hexes/turno), o condutor deverá fazer um teste de Carreiro a cada 10 segundos, com um redutor que pode ir até -5 devido a um terreno ruim.
- Uma falha numa jogada significa que a carga foi derrubada. Isto equivale a uma queda de 5 metros (dano igual a 5d6-10) para cada homem ou animal envolvido.
- O condutor precisará ser bem sucedido em testes de Adestramento de Animais para conseguir acalmar os animais
-  Jogue também 2 dados para cada animal. 
- Um resultado igual a 12 significa uma perna quebrada.
- O tempo requerido para reacomodar a carga dependerá do que está sendo transportado, do terreno e do clima.",ADESTRAMENTO DE ANIMAIS,
