disadvantage_id,disadvantage_box_name,disadvantage_name,disadvantage_cost,disadvantage_type,disadvantage_description,disadvantage_source_book,disadvantage_source_page
DIS-000,APARÊNCIA DESAGRADÁVEL | -5,APARÊNCIA DESAGRADÁVEL,-5,Física,"
- Nada que se possa precisar com exatidão. O personagem tem algo indefinido, que provoca antipatia.
- Deve ser submetido a um redutor de -1 em Testes de Reação com membros de sua própria raça, mas não existe penalidade para membros de outras raças (o problema é muito sutil para que eles o percebam).",Módulo Básico,15
DIS-001,FEIO | -10,FEIO,-10,Física,"
- Idem só que não tão intensamente. Talvez cabelos oleosos ou dentes encavalados ou cariados.
- Redutor igual a -2 em Testes de Reação, com as mesmas exceções expostas no parágrafo anterior.",Módulo Básico,15
DIS-002,HEDIONDO | -20,HEDIONDO,-20,Física,"
- Pode ser qualquer coisa especificada pelo jogador que cause aversão: corcunda, doença grave de pele, estrabismo, etc... De preferência várias coisas juntas.
- O personagem estará submetido a um redutor igual a -4 em qualquer Teste de Reação, com exceção daqueles relativos a criaturas alienígenas ou a pessoas que não o(a) podem ver (que ficarão muito surpresas quando, finalmente, o encontrarem. O Mestre poderá exigir um novo Teste de Reação quando isto acontecer).",Módulo Básico,15
DIS-003,BATALHADOR | -10,BATALHADOR,-10,Social,"
- A quantidade inicial de recursos é apenas a metade da “média” da sociedade onde ele vive.
- Gasta 40 horas por semana no emprego. 
- Todos os cargos estão a seu alcance (pode ser um médico ou ator em início de carreira), mas o salário não é alto. Esta categoria seria apropriada, por exemplo, para um estudante do século XX.",Módulo Básico,16
DIS-004,POBRE | -15,POBRE,-15,Social,"
- O personagem é criado com recursos da ordem de 1/5 da “média” da sociedade onde ele vive.
- Ele passa 50 horas por semana trabalhando.
- Alguns cargos não estão a seu alcance e nenhum emprego que ele possa conseguir irá lhe pagar um bom salário.",Módulo Básico,16
DIS-005,FALIDO | -25,FALIDO,-25,Social,"
- Você não tem emprego ou fonte de renda, nenhum dinheiro ou outro patrimônio qualquer, que não seja a roupa do corpo.
- Você é incapaz de conseguir ttrabalho ou não existe emprego disponível.",Módulo Básico,16
DIS-006,REPUTAÇÃO -1 | -5,REPUTAÇÃO -1,-5,Social,"
A reputação pode ser uma vantagem ou uma desvantagem. Ela afeta as reações ao seu personagem com base no que as pessoas ouviram falar sobre você. Em contraste, o Estigma Social e o Trato Social são reações baseadas no que você é, e não em quem você é. A reputação tem quatro componentes:

- Detalhe (A razão de você ser conhecido)
- Modificador de Reação: ±5/nível; máximo de ±4
- Pessoas Afetadas
- Frequência de Reconhecimento

É possível ter mais de uma reputação, e as reputações podem se sobrepor. A soma dessas combinações não pode ser inferior a -4 nem superior a +4.",Módulo Básico,17
DIS-007,REPUTAÇÃO -2 | -10,REPUTAÇÃO -2,-10,Social,"
A reputação pode ser uma vantagem ou uma desvantagem. Ela afeta as reações ao seu personagem com base no que as pessoas ouviram falar sobre você. Em contraste, o Estigma Social e o Trato Social são reações baseadas no que você é, e não em quem você é. A reputação tem quatro componentes:

- Detalhe (A razão de você ser conhecido)
- Modificador de Reação: ±5/nível; máximo de ±4
- Pessoas Afetadas
- Frequência de Reconhecimento

É possível ter mais de uma reputação, e as reputações podem se sobrepor. A soma dessas combinações não pode ser inferior a -4 nem superior a +4.",Módulo Básico,17
DIS-008,REPUTAÇÃO -3 | 15,REPUTAÇÃO -3,15,Social,"
A reputação pode ser uma vantagem ou uma desvantagem. Ela afeta as reações ao seu personagem com base no que as pessoas ouviram falar sobre você. Em contraste, o Estigma Social e o Trato Social são reações baseadas no que você é, e não em quem você é. A reputação tem quatro componentes:

- Detalhe (A razão de você ser conhecido)
- Modificador de Reação: ±5/nível; máximo de ±4
- Pessoas Afetadas
- Frequência de Reconhecimento

É possível ter mais de uma reputação, e as reputações podem se sobrepor. A soma dessas combinações não pode ser inferior a -4 nem superior a +4.",Módulo Básico,17
DIS-009,REPUTAÇÃO -4 | 20,REPUTAÇÃO -4,20,Social,"
A reputação pode ser uma vantagem ou uma desvantagem. Ela afeta as reações ao seu personagem com base no que as pessoas ouviram falar sobre você. Em contraste, o Estigma Social e o Trato Social são reações baseadas no que você é, e não em quem você é. A reputação tem quatro componentes:

- Detalhe (A razão de você ser conhecido)
- Modificador de Reação: ±5/nível; máximo de ±4
- Pessoas Afetadas
- Frequência de Reconhecimento

É possível ter mais de uma reputação, e as reputações podem se sobrepor. A soma dessas combinações não pode ser inferior a -4 nem superior a +4.",Módulo Básico,17
DIS-010,HABITO LEVE | -5,HABITO LEVE,-5,Social,"
- O personagem se comporta parte do (ou todo o) tempo de maneira repugnante aos outros.
- Quanto pior o seu comportamento, maior o número de pontos.
- Pode-se especificar o comportamento no momento em que o personagem é criado e estimar o bônus junto com o Mestre.
- Alguns exemplos: Odor de suor, coceira crônica e cantarolar o tempo todo fora de tom poderiam valer -5 pontos cada. Fazer trocadilhos de mau gosto ou cuspir no chão poderiam valer -10 pontos cada. Hábitos
dignos de um bônus de -15 pontos são possíveis, mas serão deixados a cargo da imaginação daqueles que são depravados o suficiente para desejá-los.
- Subtraia 1 ponto de todos os testes de reação feitos por pessoas capazes de observar seu hábito para cada -5 pontos de bônus conseguidos com ele.
- Lembre-se que certos hábitos repugnantes não incomodarão aos não-humanos. Um camarada que fique babando irritaria outras pessoas, mas um marciano nem notaria e um troll poderia achar atraente.
- O redutor devido a um hábito detestável deve ser usado com membros da raça do personagem e o Mestre deverá cuidar das diferentes reações de outras raças.",Módulo Básico,26
DIS-011,HABITO DETESTÁVEL | -10,HABITO DETESTÁVEL,-10,Social,"
- O personagem se comporta parte do (ou todo o) tempo de maneira repugnante aos outros.
- Quanto pior o seu comportamento, maior o número de pontos.
- Pode-se especificar o comportamento no momento em que o personagem é criado e estimar o bônus junto com o Mestre.
- Alguns exemplos: Odor de suor, coceira crônica e cantarolar o tempo todo fora de tom poderiam valer -5 pontos cada. Fazer trocadilhos de mau gosto ou cuspir no chão poderiam valer -10 pontos cada. Hábitos
dignos de um bônus de -15 pontos são possíveis, mas serão deixados a cargo da imaginação daqueles que são depravados o suficiente para desejá-los.
- Subtraia 1 ponto de todos os testes de reação feitos por pessoas capazes de observar seu hábito para cada -5 pontos de bônus conseguidos com ele.
- Lembre-se que certos hábitos repugnantes não incomodarão aos não-humanos. Um camarada que fique babando irritaria outras pessoas, mas um marciano nem notaria e um troll poderia achar atraente.
- O redutor devido a um hábito detestável deve ser usado com membros da raça do personagem e o Mestre deverá cuidar das diferentes reações de outras raças.",Módulo Básico,26
DIS-012,HABITO PESADO | -15,HABITO PESADO,-15,Social,"
- O personagem se comporta parte do (ou todo o) tempo de maneira repugnante aos outros.
- Quanto pior o seu comportamento, maior o número de pontos.
- Pode-se especificar o comportamento no momento em que o personagem é criado e estimar o bônus junto com o Mestre.
- Alguns exemplos: Odor de suor, coceira crônica e cantarolar o tempo todo fora de tom poderiam valer -5 pontos cada. Fazer trocadilhos de mau gosto ou cuspir no chão poderiam valer -10 pontos cada. Hábitos
dignos de um bônus de -15 pontos são possíveis, mas serão deixados a cargo da imaginação daqueles que são depravados o suficiente para desejá-los.
- Subtraia 1 ponto de todos os testes de reação feitos por pessoas capazes de observar seu hábito para cada -5 pontos de bônus conseguidos com ele.
- Lembre-se que certos hábitos repugnantes não incomodarão aos não-humanos. Um camarada que fique babando irritaria outras pessoas, mas um marciano nem notaria e um troll poderia achar atraente.
- O redutor devido a um hábito detestável deve ser usado com membros da raça do personagem e o Mestre deverá cuidar das diferentes reações de outras raças.",Módulo Básico,26
DIS-013,PRIMITIVISMO 1 | -5,PRIMITIVISMO 1,-5,Social,"
- Você pertence a uma cultura com NT mais baixo que o da campanha e, por isso, não tem nenhum conhecimento (ou nível pré-definido para testes de habilidade) relacionado com equipamentos de nível tecnológico maior do que o seu.
- Só lhe é permitido começar com perícias ou equipamentos de sua cultura. (Para representar um personagem de uma raça primitiva sem esta desvantagem, assuma que ele vem de uma área quase “civilizada”.)
- O valor desta desvantagem é 5 pontos para cada ponto de diferença entre o seu nível tecnológico original e o da campanha.
- Se a raça ou cultura dominante tratar sua raça com desprezo, isto será uma desvantagem diferente (Estigma Social).
- Você não poderá desenvolver habilidade em Perícias Mentais relacionadas com equipamentos de NT elevado enquanto não recomprar esta desvantagem. Se você conseguir encontrar um professor, as Perícias Físicas poderão ser adquiridas sem nenhuma penalidade.",Módulo Básico,26
DIS-014,PRIMITIVISMO 2 | -10,PRIMITIVISMO 2,-10,Social,"
- Você pertence a uma cultura com NT mais baixo que o da campanha e, por isso, não tem nenhum conhecimento (ou nível pré-definido para testes de habilidade) relacionado com equipamentos de nível tecnológico maior do que o seu.
- Só lhe é permitido começar com perícias ou equipamentos de sua cultura. (Para representar um personagem de uma raça primitiva sem esta desvantagem, assuma que ele vem de uma área quase “civilizada”.)
- O valor desta desvantagem é 5 pontos para cada ponto de diferença entre o seu nível tecnológico original e o da campanha.
- Se a raça ou cultura dominante tratar sua raça com desprezo, isto será uma desvantagem diferente (Estigma Social).
- Você não poderá desenvolver habilidade em Perícias Mentais relacionadas com equipamentos de NT elevado enquanto não recomprar esta desvantagem. Se você conseguir encontrar um professor, as Perícias Físicas poderão ser adquiridas sem nenhuma penalidade.",Módulo Básico,26
DIS-015,PRIMITIVISMO 3 | -15,PRIMITIVISMO 3,-15,Social,"
- Você pertence a uma cultura com NT mais baixo que o da campanha e, por isso, não tem nenhum conhecimento (ou nível pré-definido para testes de habilidade) relacionado com equipamentos de nível tecnológico maior do que o seu.
- Só lhe é permitido começar com perícias ou equipamentos de sua cultura. (Para representar um personagem de uma raça primitiva sem esta desvantagem, assuma que ele vem de uma área quase “civilizada”.)
- O valor desta desvantagem é 5 pontos para cada ponto de diferença entre o seu nível tecnológico original e o da campanha.
- Se a raça ou cultura dominante tratar sua raça com desprezo, isto será uma desvantagem diferente (Estigma Social).
- Você não poderá desenvolver habilidade em Perícias Mentais relacionadas com equipamentos de NT elevado enquanto não recomprar esta desvantagem. Se você conseguir encontrar um professor, as Perícias Físicas poderão ser adquiridas sem nenhuma penalidade.",Módulo Básico,26
DIS-016,PRIMITIVISMO 4 | -20,PRIMITIVISMO 4,-20,Social,"
- Você pertence a uma cultura com NT mais baixo que o da campanha e, por isso, não tem nenhum conhecimento (ou nível pré-definido para testes de habilidade) relacionado com equipamentos de nível tecnológico maior do que o seu.
- Só lhe é permitido começar com perícias ou equipamentos de sua cultura. (Para representar um personagem de uma raça primitiva sem esta desvantagem, assuma que ele vem de uma área quase “civilizada”.)
- O valor desta desvantagem é 5 pontos para cada ponto de diferença entre o seu nível tecnológico original e o da campanha.
- Se a raça ou cultura dominante tratar sua raça com desprezo, isto será uma desvantagem diferente (Estigma Social).
- Você não poderá desenvolver habilidade em Perícias Mentais relacionadas com equipamentos de NT elevado enquanto não recomprar esta desvantagem. Se você conseguir encontrar um professor, as Perícias Físicas poderão ser adquiridas sem nenhuma penalidade.",Módulo Básico,26
DIS-017,ALBINISMO | -10,ALBINISMO,-10,Física,"
- O Personagem não possui a pigmentação natural no corpo; seus pelos, cabelos e pele são brancos e os olhos são cor-de-rosa.
- Quando estivermos escolhendo a aparência do personagem ele poderá ser atraente ou feio, mas nunca será considerado “comum”.
- Um albino será sempre lembrado e não é capaz de se misturar em uma multidão. 
- Eles devem evitar o sol direto e não têm resistência à queimadura solar.
- Ele recebe 1 ponto de dano para cada 30 minutos de exposição ao sol comum, ou 1 ponto para cada 15 minutos de exposição ao sol quente do verão ou de um deserto.
- Além disso, o personagem estará sempre submetido a um redutor de -2 em testes de Visão ou ataques com armas de longo alcance, feitos à luz do sol.",Módulo Básico,27
DIS-018,CEGUEIRA | -50,CEGUEIRA,-50,Física,"- O personagem não enxerga.
- Como uma compensação parcial, ele poderia começar com o Ouvido Aguçado e/ou Olfato/Paladar Apurado, pagando somente a metade dos pontos necessários.
- Além disso, ele não estará submetido a nenhuma penalidade por atuar no escuro. O personagem deverá viajar mais lenta e cuidadosamente em terreno desconhecido, ou ser guiado por um companheiro ou animal.
- Muitos atos e habilidades (um número muito grande para listar aqui) são completa- mente impossíveis para um cego. O Mestre deveria usar o bom senso nestes casos.
- Um personagem cego está submetido a um redutor de -6 em todas as perícias de combate. Ele pode usar armas de mão, mas não é capaz de dirigir um golpe para uma parte específica do corpo do oponente, e não pode disparar uma arma de projétil (a não ser aleatoriamente ou em
direção a um alvo próximo o suficiente para ser ouvido).
- Tudo isto supõe que o personagem já está acostumado à sua cegueira. Qualquer um que perca a visão subitamente lutará sempre com um redutor de -10 como se estivesse no escuro.
- Em países civilizados os cegos receberão um bônus de +1 em todos os testes de reação.",Módulo Básico,27
